Sample	MinLength	Average	MaxLength	NumSeqs	Q20	Q30	MinQ	Average	MaxQ
1A_S8	20	74.39	75	58364853	96.10	94.31	2	34.44	36
1C_S1	21	74.39	75	29222289	96.12	94.39	2	34.46	36
2A_S7	20	74.43	75	55711941	96.12	94.36	2	34.45	36
2C_S5	22	74.50	75	38563452	96.19	94.46	2	34.47	36
3A_S9	20	74.46	75	55778100	96.12	94.37	2	34.45	36
3C_S11	21	74.48	75	44386767	96.11	94.37	2	34.45	36
4A_S6	21	74.45	75	59268714	96.11	94.34	2	34.45	36
4C_S12	20	74.48	75	37364770	95.99	94.17	2	34.41	36
5A_S2	23	74.47	75	39381051	95.64	93.79	2	34.33	36
5C_S4	20	74.48	75	36745427	95.92	94.09	2	34.39	36
6A_S3	20	74.48	75	55388301	96.14	94.40	2	34.46	36
6C_S10	22	74.49	75	42730345	95.99	94.23	2	34.42	36
