logFC logCPM F PValue FDR
TCONS_00063463 -4.85039567892377 5.7121324529482 257.420481057587 7.89553010904865e-08 0.00259960328840427
TCONS_00030498 -2.05890666599921 4.77662837035978 144.692297249375 9.04347130696251e-07 0.0119859547237466
TCONS_00039988 4.49046851034647 2.84300679732074 129.234469999842 1.44806315602612e-06 0.0119859547237466
TCONS_00063464 -3.53633111497488 3.41543581667678 129.061256246154 1.45615243416815e-06 0.0119859547237466
TCONS_00054330 -2.65706392740737 3.00683860036955 93.1581366922648 5.56059234004696e-06 0.0326043752005292
TCONS_00039977 -2.80147534303915 3.94879531937415 88.7670366785049 6.76326430975422e-06 0.0326043752005292
TCONS_00032909 5.18282550150609 -0.267388062436798 88.2286090402091 6.93183375561744e-06 0.0326043752005292
TCONS_00039966 5.30761002937575 0.0114169972482208 83.6888755719342 8.57931533593659e-06 0.035309244679464
TCONS_00021071 -2.38911578105114 5.15114251195693 75.5412056080202 1.29360074113613e-05 0.0428539656349504
TCONS_00017572 1.25923461655364 7.19974127680168 74.9498562571917 1.33479730023473e-05 0.0428539656349504
TCONS_00068983 -3.5330285926186 1.93885092378989 73.6427543034217 1.4317194289581e-05 0.0428539656349504
TCONS_00000477 6.64219490089736 -0.413668052379667 68.7080856060115 1.8852209146882e-05 0.0517257488467576
TCONS_00030123 -1.68386284777312 4.21603313123432 60.9676477911694 3.01500349518694e-05 0.0741132839396548
TCONS_00039978 -4.15817115601177 0.226011354265854 60.2801138789909 3.15136211132928e-05 0.0741132839396548
TCONS_00036683 -3.03943978852453 1.91218421552014 54.1209276646304 4.78397914013841e-05 0.101284689437968
TCONS_00047492 1.20679916942898 4.4275898066572 53.7222569919726 4.92195909189822e-05 0.101284689437968
TCONS_00023748 1.85154353261507 3.66179367136118 52.22564617834 5.48555124982528e-05 0.106242220529704
TCONS_00012803 -2.22358092051752 3.10950108995661 49.5227649450582 6.71901656217523e-05 0.116731935660097
TCONS_00063468 -2.24142110988764 4.30183817382119 49.4894396660769 6.73623926360468e-05 0.116731935660097
TCONS_00030818 3.53436153949086 -0.425559874583771 47.9111726158642 7.61774035525654e-05 0.120741248941583
TCONS_00000829 -4.05893646291602 0.980580980026302 47.7737153852206 7.70103637896202e-05 0.120741248941583
TCONS_00039984 1.18398004811117 6.10783504176789 45.5192725307482 9.24113653128633e-05 0.136264279607874
TCONS_00042651 1.43007136197806 3.61614346736104 45.1618761497667 9.51884109637392e-05 0.136264279607874
TCONS_00052328 -1.53403015154772 4.85221717893174 44.338049476811 0.000101990164599959 0.139917757060568
TCONS_00014102 3.47132084347732 -0.389181361473278 42.6821784056952 0.000117562039838251 0.151340765378257
TCONS_00072614 -5.37388380484076 -1.79574384868505 42.4941121765861 0.000119509791946383 0.151340765378257
TCONS_00025027 -4.00048579244758 1.85576528829877 40.6703232653294 0.000140614049402144 0.164530021112994
TCONS_00017607 3.0671022773857 -0.331080344089326 40.4754114960134 0.00014313090646044 0.164530021112994
TCONS_00063453 -7.19116444995184 -1.28470652417104 47.0021846928618 0.000144916343577125 0.164530021112994
TCONS_00074665 3.38080829169061 -0.857995091907487 39.6200769177579 0.000154851938611661 0.167940409854793
TCONS_00015352 2.43539903714891 2.52100678542902 39.3955758636846 0.000158121570402387 0.167940409854793
TCONS_00012802 2.52190822820272 2.22101389326133 38.8067861381719 0.00016710804300746 0.171938509875644
TCONS_00045776 2.5468294469578 1.02078550481374 38.0424313944866 0.000179729378826021 0.175432025392287
TCONS_00045643 1.47092174089682 5.05845515902286 37.9599712547362 0.000181159874361056 0.175432025392287
TCONS_00068050 -1.25918805688 4.26040910391827 37.1050254162112 0.000196847213846973 0.185176986168902
TCONS_00006352 -3.05641140078356 0.736099675026411 36.2436523561302 0.000214373209598508 0.193584741836481
TCONS_00075172 -3.46567758302886 -0.745750901157085 36.0970491318858 0.000217543977158688 0.193584741836481
TCONS_00068870 -3.2373088812099 0.741195731091375 35.4466933224161 0.00023232415419703 0.201296652024664
TCONS_00030467 -2.29586940744224 3.2117488717819 34.987421316721 0.000243508757602214 0.205577585744946
TCONS_00044711 -1.02143807548098 5.40251486433904 33.8806064355227 0.000273302382413711 0.213881721119984
TCONS_00044889 1.95818880877833 2.46307209970989 33.8347612452924 0.000274630323841648 0.213881721119984
TCONS_00046078 -2.91962338671011 -1.37496333270034 33.7743508743455 0.000276392276426993 0.213881721119984
TCONS_00052156 3.33814891079663 2.25238258017663 33.497290758805 0.00028465318124783 0.213881721119984
TCONS_00058900 2.76189947069351 -0.813957050518812 33.2594991534415 0.00029198614071775 0.213881721119984
TCONS_00018464 2.79988173202094 -1.02773874750635 33.140515171411 0.00029574237048774 0.213881721119984
TCONS_00061245 1.2507994524657 7.233078283633 33.0444856171352 0.000298817286910228 0.213881721119984
TCONS_00002117 -1.36838030065104 4.87399573899252 32.3723349880591 0.00032147570949482 0.225203994364191
TCONS_00060645 1.7937852838271 3.49727905573086 31.9655197249192 0.000336217317249717 0.23061482427752
TCONS_00004527 3.03779152556814 2.04622346973794 31.6473514518709 0.000348328359235921 0.23061482427752
TCONS_00043683 -3.14244345392551 -0.629543457708074 31.5990791056642 0.000350212337551283 0.23061482427752
TCONS_00074664 3.00358610954853 -0.0763827929827563 31.1911529836876 0.000366643109546923 0.236466159182513
TCONS_00006223 3.07800362429706 -1.02563590643933 31.0283972670196 0.000373462119285974 0.236466159182513
TCONS_00046733 -3.52869765502538 3.48863929431648 30.7404726480265 0.000385911092442856 0.239738164503416
