logFC logCPM F PValue FDR
XLOC_018218 -1.77948308622516 4.49330158659231 247.885625200202 7.73931534072683e-08 0.00143154115857424
XLOC_008190 -2.57429357952279 2.93998832212978 152.733116215165 6.21291611174459e-07 0.00193309856061367
XLOC_000631 -2.71712713745589 3.41512752091213 149.318558365435 6.84012728185634e-07 0.00193309856061367
XLOC_015546 -2.19189526067251 3.31176740720654 138.780094205275 9.33119566314036e-07 0.00193309856061367
XLOC_034150 -2.6037835506409 2.58855943210911 134.604983898618 1.06186201035956e-06 0.00193309856061367
XLOC_049880 -1.66250401639021 5.63525661705363 127.735711485641 1.32463196969136e-06 0.00193309856061367
XLOC_004338 -2.86950447987925 0.745801397850788 124.258751526645 1.4878826964444e-06 0.00193309856061367
XLOC_021971 -1.66905017964425 3.18473535131407 121.585631072825 1.63035945978497e-06 0.00193309856061367
XLOC_014686 -1.89635171347467 2.95268849463865 116.350862876114 1.96103834279432e-06 0.00193309856061367
XLOC_045709 -2.02051354364398 7.35526926450236 115.497739290996 2.02244171190883e-06 0.00193309856061367
XLOC_004830 -1.97271286608816 4.24671757270786 115.474352395634 2.02415784538816e-06 0.00193309856061367
XLOC_000250 1.68725770908381 2.53149698610136 114.155764403097 2.12386454721821e-06 0.00193309856061367
XLOC_009554 1.66678573312408 3.78250080683855 112.626601616315 2.24712981119448e-06 0.00193309856061367
XLOC_052068 -1.8510508680446 5.97848280888548 109.195818939519 2.55710046122535e-06 0.00193309856061367
XLOC_005890 -1.69187088082016 4.34904904214526 108.95516828243 2.58074860059985e-06 0.00193309856061367
XLOC_029529 -1.70111865870052 5.1582022963818 103.681611225879 3.17309404580289e-06 0.00193309856061367
XLOC_021493 -2.58986758167069 4.89059675338656 103.057121258953 3.25378563045135e-06 0.00193309856061367
XLOC_011462 1.84569199776472 2.08790370295649 101.283368245786 3.49706027042141e-06 0.00193309856061367
XLOC_044284 -1.33478012720659 5.61718325650837 100.595455530423 3.5973658484301e-06 0.00193309856061367
XLOC_035567 -1.9312483641804 4.68140418385251 98.7963315717756 3.87682558348008e-06 0.00193309856061367
XLOC_017039 -2.41343747371538 0.803039076027177 97.433833670142 4.10628223847692e-06 0.00193309856061367
XLOC_008589 -5.94145256252678 -0.448665714147761 120.717242029317 4.33441221795759e-06 0.00193309856061367
XLOC_035777 -1.92173419678937 5.26012306955164 95.4727033242313 4.46648250338165e-06 0.00193309856061367
XLOC_053144 -1.90977869604764 1.93969172639389 95.0542869902717 4.54826957491768e-06 0.00193309856061367
