logFC logCPM F PValue FDR
TCONS_00056568 2.67541850347128 4.15735532576 277.582253802635 5.71692016492663e-08 0.00170980407417696
TCONS_00004775 4.07279337153618 -0.274422619917284 198.470651586535 2.39003404605365e-07 0.00170980407417696
TCONS_00025027 4.70421316055596 1.85576528818857 196.396150525441 2.49887814886221e-07 0.00170980407417696
TCONS_00050342 5.00138327677096 3.00430322082069 195.723523107433 2.53546894122424e-07 0.00170980407417696
TCONS_00045925 -3.35613971658856 4.11931538414598 194.627467762295 2.59651340042059e-07 0.00170980407417696
TCONS_00000876 -5.99733685138307 3.41755506459767 164.555373387709 5.27339891974976e-07 0.00289377765721268
TCONS_00029849 1.24249267926349 6.40652042475346 156.997635322829 6.42503829395818e-07 0.0030220626546939
TCONS_00003241 -4.72420051228385 2.91588220745451 145.53241232318 8.82724251948166e-07 0.00363296199942417
TCONS_00007126 2.38242926128884 2.7559632135306 131.354711188136 1.35337604672744e-06 0.00495110070427787
TCONS_00002120 2.92245986889903 5.36636579887881 121.608786109604 1.86339298828594e-06 0.00613522141393147
TCONS_00056778 -2.53077008553176 3.17397971699616 113.752003297673 2.45528389206068e-06 0.00734911110419072
TCONS_00013983 1.35133376443907 5.26725445926845 109.684987233979 2.85226347526786e-06 0.00755655020664802
TCONS_00014842 2.01220801670957 2.75062435404749 103.893307439291 3.5634756138847e-06 0.00755655020664802
TCONS_00056606 1.05289987647731 6.61266222738212 103.453080356283 3.62598851058407e-06 0.00755655020664802
TCONS_00019678 3.31025166807658 -0.463705426830971 102.615232228116 3.748725033316e-06 0.00755655020664802
TCONS_00055811 2.0294511575703 3.43661511115623 99.7456392912177 4.209620077819e-06 0.00755655020664802
TCONS_00047056 2.26958519434203 3.97859418119476 99.0740979941979 4.32734761836205e-06 0.00755655020664802
TCONS_00033902 2.57617782540619 1.64260963708426 97.5389575987782 4.61201113880134e-06 0.00755655020664802
TCONS_00025752 2.10102026201519 4.36322019702307 97.0516007316118 4.70715523333464e-06 0.00755655020664802
TCONS_00004227 3.5259390328904 -0.716900989833049 96.5237195547433 4.81294254983439e-06 0.00755655020664802
TCONS_00071399 1.67085331612492 6.00489903950097 94.4599290854831 5.25558052463171e-06 0.00755655020664802
TCONS_00047053 2.33695720556304 5.19986593301225 94.393296890814 5.27068616977539e-06 0.00755655020664802
TCONS_00024545 -1.92440304102225 3.949688309048 94.3581147527303 5.2786835156539e-06 0.00755655020664802
TCONS_00023748 1.80407174092219 3.6617936713293 92.6469879750006 5.68627071654459e-06 0.00780085263925961
TCONS_00025343 3.18656110739803 1.73774438177616 90.0321530745685 6.38656032686649e-06 0.00817039594284651
TCONS_00008885 1.41548315986728 7.03540299808289 89.5733133644079 6.52013613033206e-06 0.00817039594284651
TCONS_00026548 -1.75651762548737 3.97443963645776 88.9730566960594 6.70009690073974e-06 0.00817039594284651
TCONS_00034221 1.28460482748016 4.78491241958227 85.3152762780419 7.93887161256957e-06 0.00908291993538635
TCONS_00031392 -3.71290285922749 4.54999968296801 85.15282541318 8.00014208431903e-06 0.00908291993538635
TCONS_00001205 2.74326117386655 2.70496036207615 82.2766403888836 9.18752937348466e-06 0.00987096205052286
TCONS_00067245 2.52756776388537 4.22909653061804 82.0415639079806 9.29384429965706e-06 0.00987096205052286
TCONS_00024509 3.15126505166236 0.622368308068583 79.6199859807052 1.04819269214387e-05 0.0101526651786023
TCONS_00023992 1.9673943755006 2.60458558181875 79.4671902472243 1.056297000065e-05 0.0101526651786023
TCONS_00050083 1.62516094596559 4.7776318131077 79.3485280787346 1.06264394535387e-05 0.0101526651786023
TCONS_00066111 -2.58458722721945 7.16355614176985 78.0901110336792 1.13291957978898e-05 0.0101526651786023
TCONS_00039978 -4.87245663629672 0.226011354615042 78.062755453209 1.1345095584055e-05 0.0101526651786023
TCONS_00017258 1.79699059686824 3.74566589742111 77.9529026745072 1.14092213092873e-05 0.0101526651786023
TCONS_00014582 1.24223785361729 8.38641864361554 76.9478284938467 1.20170713089233e-05 0.0102399915836746
TCONS_00040704 1.39437913270418 7.0477586734453 76.7689605809355 1.21293749966078e-05 0.0102399915836746
TCONS_00012351 2.41914040150671 2.63722091920084 75.6399330826649 1.28687566658985e-05 0.0105925953306177
TCONS_00020233 0.861732890801246 6.55050994381503 75.1130690985403 1.3232681547244e-05 0.0106264887790978
TCONS_00057035 -3.44506495383202 1.24753650406644 74.4158731665612 1.37338847857695e-05 0.0107607411555902
TCONS_00004527 3.17139948512939 2.04622346972054 73.1574489179381 1.46989128001873e-05 0.0107607411555902
TCONS_00011853 -3.01052737030985 2.94007249391681 72.6445654790124 1.51159875119699e-05 0.0107607411555902
TCONS_00070042 2.09360106219523 3.86568933540183 72.5141142607409 1.52243775376882e-05 0.0107607411555902
TCONS_00047567 2.78604536678489 -0.526609412172727 72.4213862256922 1.53020041441803e-05 0.0107607411555902
TCONS_00062404 -1.51758867823989 5.37637648331184 72.3515177775062 1.53608150132951e-05 0.0107607411555902
TCONS_00046449 2.1355527751517 1.35051456240513 71.8839744416829 1.57615838718547e-05 0.0108114614371004
TCONS_00038529 0.997487784848692 7.16740822385965 70.5430564228325 1.69843071229653e-05 0.0114124145310946
TCONS_00031261 -6.05134402037168 -1.24835815820518 69.4677243389224 1.8049811528185e-05 0.0116870154118486
TCONS_00040057 1.76007586328595 4.97144321300414 69.3961168174221 1.81236372212654e-05 0.0116870154118486
TCONS_00039988 2.18678815327032 2.843006797269 69.0564855267681 1.84788776529634e-05 0.0116870154118486
TCONS_00068471 1.29411691128744 5.35077942203233 68.7444510391446 1.8812811445041e-05 0.0116870154118486
TCONS_00068110 3.06241018067487 -0.159811967241872 68.038318396091 1.95962596528816e-05 0.0119482749827986
TCONS_00008785 1.52985381211479 3.77215239195255 67.2967812202957 2.04625379169338e-05 0.0122496192893645
TCONS_00064624 1.81419456132022 4.70084298299748 66.4730983403066 2.14805556738298e-05 0.012629415992158
TCONS_00007847 0.895643381128269 5.87222080169519 65.1373182087143 2.32671416576436e-05 0.0134398357732968
TCONS_00058746 1.46013843337597 4.40853725242021 64.2202555197795 2.4599930497674e-05 0.0136579291051199
TCONS_00015913 3.6168497541049 0.9017043374421 64.061630686006 2.48398745970379e-05 0.0136579291051199
TCONS_00027004 -1.90868290473638 8.91128238633694 63.9459221805684 2.50167143923417e-05 0.0136579291051199
TCONS_00067939 2.3619963205633 0.119472512786692 63.7600813322667 2.53039840671925e-05 0.0136579291051199
TCONS_00072121 2.60556608630448 0.195668385956418 63.2743646566952 2.60741351856296e-05 0.0136797512421322
TCONS_00025009 -5.02160223891778 2.43342619026173 63.2118234928033 2.61753782309592e-05 0.0136797512421322
