GO.ID	Term	Annotated	Significant	Expected	Rank in elim	elim	weight01	lea
GO:0005515	protein binding	2101	16	14.95	1	5e-08	1.6e-10	1.6e-09
GO:0008417	fucosyltransferase activity	33	0	0.23	3	0.00076	0.00076	0.00076
GO:0005509	calcium ion binding	361	2	2.57	4	0.00088	0.00088	0.00088
GO:0036459	thiol-dependent ubiquitinyl hydrolase ac...	43	0	0.31	27	0.01870	0.00230	0.01870
GO:0004812	aminoacyl-tRNA ligase activity	42	0	0.3	5	0.00240	0.00240	0.00240
GO:0016757	transferase activity, transferring glyco...	194	2	1.38	2	0.00039	0.00259	1.2e-06
GO:1901505	carbohydrate derivative transmembrane tr...	22	0	0.16	288	0.45210	0.00293	0.45210
GO:0008536	Ran GTPase binding	14	0	0.1	6	0.00318	0.00318	0.00318
GO:0004707	MAP kinase activity	6	0	0.04	7	0.00634	0.00634	0.00634
GO:0004842	ubiquitin-protein transferase activity	76	1	0.54	150	0.18724	0.00678	0.18724
GO:0005085	guanyl-nucleotide exchange factor activi...	58	1	0.41	60	0.04614	0.00722	0.04614
GO:0008061	chitin binding	77	0	0.55	9	0.00757	0.00757	0.00757
GO:0005524	ATP binding	786	4	5.59	10	0.00877	0.00877	0.00877
