GO.ID	Term	Annotated	Significant	Expected	Rank in elim	elim	weight01	lea
GO:0016021	integral component of membrane	885	111	86.45	1	4.6e-16	1.4e-14	4.8e-22
GO:0016020	membrane	1565	186	152.87	3	1.5e-05	1.1e-05	5.5e-26
GO:0005887	integral component of plasma membrane	118	19	11.53	2	1.3e-05	4.1e-05	1.3e-07
GO:0016459	myosin complex	33	4	3.22	4	4.9e-05	4.9e-05	4.9e-05
GO:0098800	inner mitochondrial membrane protein com...	21	6	2.05	10	0.00191	0.00018	0.00191
GO:0008076	voltage-gated potassium channel complex	13	1	1.27	6	0.00072	0.00072	0.00072
GO:0090575	RNA polymerase II transcription factor c...	23	7	2.25	8	0.00087	0.00101	0.00087
GO:0005576	extracellular region	140	28	13.68	11	0.00209	0.00286	0.00209
GO:0005886	plasma membrane	170	23	16.61	5	0.00068	0.00416	1.1e-10
GO:0042555	MCM complex	10	5	0.98	17	0.00893	0.00893	0.00893
GO:0005634	nucleus	531	54	51.87	14	0.00673	0.00900	0.02945
GO:0005743	mitochondrial inner membrane	33	9	3.22	21	0.01125	0.01125	0.00023
GO:0098796	membrane protein complex	145	14	14.16	37	0.02782	0.01309	0.00525
GO:0005929	cilium	27	0	2.64	20	0.01078	0.01334	0.00176
GO:0044430	cytoskeletal part	152	17	14.85	45	0.03229	0.01571	0.01508
GO:0034704	calcium channel complex	5	0	0.49	23	0.01677	0.01677	0.01677
GO:0016591	RNA polymerase II, holoenzyme	20	3	1.95	9	0.00161	0.01836	0.00161
GO:0005681	spliceosomal complex	12	1	1.17	24	0.01853	0.01853	0.01853
GO:0031225	anchored component of membrane	6	3	0.59	30	0.02104	0.02104	0.02104
