GO.ID	Term	Annotated	Significant	Expected	Rank in elim	elim	weight01	lea
GO:0005515	protein binding	2101	219	217.34	1	9.6e-14	1.5e-15	7.1e-16
GO:0005509	calcium ion binding	361	48	37.34	2	5.0e-12	5.0e-12	5.0e-12
GO:0005525	GTP binding	198	24	20.48	3	4.9e-05	4.9e-05	4.9e-05
GO:0004672	protein kinase activity	274	34	28.34	5	6.5e-05	0.00011	6.5e-05
GO:0003774	motor activity	131	11	13.55	10	0.00049	0.00013	0.00049
GO:0022857	transmembrane transporter activity	583	79	60.31	55	0.01674	0.00032	2.5e-09
GO:0005524	ATP binding	786	75	81.31	6	0.00035	0.00035	0.00035
GO:0005507	copper ion binding	18	9	1.86	8	0.00042	0.00042	0.00042
GO:0005200	structural constituent of cytoskeleton	17	6	1.76	9	0.00049	0.00049	0.00049
GO:0004181	metallocarboxypeptidase activity	19	3	1.97	11	0.00061	0.00061	0.00061
GO:0016491	oxidoreductase activity	417	63	43.14	50	0.01405	0.00071	0.00343
GO:0004252	serine-type endopeptidase activity	88	17	9.1	12	0.00072	0.00072	0.00072
GO:0061630	ubiquitin protein ligase activity	27	6	2.79	13	0.00113	0.00113	0.00113
GO:0005230	extracellular ligand-gated ion channel a...	54	6	5.59	51	0.01507	0.00127	0.01507
GO:0008138	protein tyrosine/serine/threonine phosph...	23	4	2.38	17	0.00181	0.00181	0.00181
GO:0004198	calcium-dependent cysteine-type endopept...	28	3	2.9	21	0.00257	0.00257	0.00257
GO:0003924	GTPase activity	138	15	14.28	22	0.00262	0.00262	0.00262
GO:0004601	peroxidase activity	34	9	3.52	40	0.01130	0.00274	0.01130
GO:0042626	ATPase activity, coupled to transmembran...	86	10	8.9	14	0.00116	0.00343	0.00116
GO:0005337	nucleoside transmembrane transporter act...	7	1	0.72	24	0.00406	0.00406	0.00406
GO:0016787	hydrolase activity	1382	190	142.97	20	0.00237	0.00478	7.8e-17
GO:0008017	microtubule binding	62	4	6.41	27	0.00524	0.00524	0.00524
GO:0016715	oxidoreductase activity, acting on paire...	14	6	1.45	28	0.00529	0.00529	0.00529
GO:0004222	metalloendopeptidase activity	73	10	7.55	29	0.00570	0.00570	0.00570
GO:0016840	carbon-nitrogen lyase activity	8	1	0.83	30	0.00572	0.00572	0.00572
GO:0030248	cellulose binding	7	3	0.72	31	0.00647	0.00647	0.00647
GO:0047631	ADP-ribose diphosphatase activity	6	3	0.62	32	0.00720	0.00720	0.00720
GO:0005506	iron ion binding	72	13	7.45	16	0.00144	0.00740	0.00144
GO:0005249	voltage-gated potassium channel activity	27	2	2.79	33	0.00748	0.00748	0.00748
GO:0004930	G protein-coupled receptor activity	180	14	18.62	18	0.00182	0.00775	0.00182
GO:0016791	phosphatase activity	100	17	10.34	66	0.02452	0.00996	0.00138
GO:0030246	carbohydrate binding	51	11	5.28	39	0.01068	0.01022	0.00071
GO:0020037	heme binding	95	15	9.83	42	0.01213	0.01213	0.01213
GO:0008092	cytoskeletal protein binding	144	12	14.9	37	0.00965	0.01257	0.00037
GO:0008271	secondary active sulfate transmembrane t...	13	2	1.34	46	0.01352	0.01352	0.01352
GO:0043565	sequence-specific DNA binding	146	9	15.1	98	0.04742	0.01536	0.04742
GO:0004568	chitinase activity	9	4	0.93	52	0.01589	0.01589	0.01589
