GO.ID	Term	Annotated	Significant	Expected	Rank in elim	elim	weight01	lea
GO:0016747	transferase activity, transferring acyl ...	158	3	1.52	149	0.18300	0.00036	0.20455
GO:0140101	catalytic activity, acting on a tRNA	139	1	1.34	2	0.00096	0.00041	0.00096
GO:0035091	phosphatidylinositol binding	109	3	1.05	1	0.00025	0.00045	0.00025
GO:0004812	aminoacyl-tRNA ligase activity	90	1	0.87	17	0.01613	0.00098	0.01613
GO:0005509	calcium ion binding	638	6	6.13	3	0.00156	0.00156	0.00156
GO:0004594	pantothenate kinase activity	5	0	0.05	4	0.00283	0.00283	0.00283
GO:0009982	pseudouridine synthase activity	27	0	0.26	5	0.00300	0.00300	0.00300
GO:0008417	fucosyltransferase activity	42	0	0.4	6	0.00422	0.00422	0.00422
GO:0060090	molecular adaptor activity	45	2	0.43	16	0.01539	0.00449	0.01539
GO:0005515	protein binding	4270	46	41.05	28	0.02495	0.00528	0.01108
