-----
genemark-scaffold2415_len56762_cov76-processed-gene-0.18	PDZ and LIM domain 3 isoform X13	402	20	1.93E-14	49.15%	1	F:protein binding		IPR001478 (SMART); IPR001478 (PFAM); IPR001478 (G3DSA:2.30.42.GENE3D); IPR001478 (PROSITE_PROFILES); cd00992 (CDD); IPR001478 (SUPERFAMILY)
snap_masked-scaffold17049_len18655_cov44-processed-gene-0.14	---NA---	243							no IPS match
snap_masked-scaffold17049_len18655_cov44-processed-gene-0.13	---NA---	125							no IPS match
augustus_masked-scaffold768_len46757_cov81-processed-gene-0.5	E3 ubiquitin- ligase TRIM71	1207	20	0E0	67.5%	3	F:zinc ion binding; F:protein binding; C:intracellular		Coil (COILS); IPR000315 (SMART); IPR001298 (SMART); IPR013783 (G3DSA:2.60.40.GENE3D); IPR011042 (G3DSA:2.120.10.GENE3D); IPR017868 (PFAM); IPR000315 (G3DSA:4.10.45.GENE3D); IPR001258 (PFAM); IPR000315 (PFAM); PTHR24103:SF359 (PANTHER); PTHR24103 (PANTHER); PTHR24103:SF359 (PANTHER); PTHR24103 (PANTHER); PTHR24103 (PANTHER); PTHR24103:SF359 (PANTHER); IPR013017 (PROSITE_PROFILES); IPR017868 (PROSITE_PROFILES); IPR013017 (PROSITE_PROFILES); IPR000315 (PROSITE_PROFILES); IPR013017 (PROSITE_PROFILES); IPR000315 (PROSITE_PROFILES); IPR013017 (PROSITE_PROFILES); IPR013017 (PROSITE_PROFILES); IPR013017 (PROSITE_PROFILES); cd14954 (CDD); cd00021 (CDD); SSF101898 (SUPERFAMILY); SSF57845 (SUPERFAMILY); IPR014756 (SUPERFAMILY)
maker-scaffold2750_len87818_cov84-augustus-gene-0.62	---NA---	476							no IPS match
snap_masked-scaffold32352_len40476_cov84-processed-gene-0.23	---NA---	81							no IPS match
snap_masked-scaffold32352_len40476_cov84-processed-gene-0.24	---NA---	73							no IPS match
snap_masked-scaffold17652_len7973_cov83-processed-gene-0.6	---NA---	131							no IPS match
snap_masked-scaffold17652_len7973_cov83-processed-gene-0.5	---NA---	91							no IPS match
maker-scaffold29125_len35072_cov79-augustus-gene-0.35	---NA---	164							no IPS match
snap_masked-scaffold29125_len35072_cov79-processed-gene-0.29	adenylate kinase isoenzyme 5-like isoform X1	1137	20	0E0	63.85%	3	F:ATP binding; F:nucleobase-containing compound kinase activity; P:nucleobase-containing compound metabolic process		Coil (COILS); Coil (COILS); IPR000850 (PRINTS); PF00406 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); PTHR23359:SF70 (PANTHER); IPR000850 (PANTHER); PTHR23359:SF70 (PANTHER); IPR000850 (PANTHER); IPR000850 (PANTHER); PTHR23359:SF70 (PANTHER); PS00113 (PROSITE_PATTERNS); PS00113 (PROSITE_PATTERNS); IPR000850 (HAMAP); IPR000850 (HAMAP); IPR000850 (HAMAP); IPR000850 (CDD); IPR000850 (CDD); IPR000850 (CDD); IPR027417 (SUPERFAMILY); IPR027417 (SUPERFAMILY); IPR027417 (SUPERFAMILY)
snap_masked-scaffold131579_len2599_cov100_single-processed-gene-0.1	---NA---	95							no IPS match
snap_masked-scaffold131579_len2599_cov100_single-processed-gene-0.2	---NA---	70							no IPS match
augustus_masked-scaffold6662_len31042_cov81-processed-gene-0.4	EBF partial	200	1	5.03E-47	91%				no IPS match
augustus_masked-scaffold6662_len31042_cov81-processed-gene-0.5	EBF partial	193	1	2.7E-63	100%				no IPS match
snap_masked-scaffold6428_len74867_cov82-processed-gene-0.64	---NA---	160							no IPS match
augustus_masked-scaffold1773_len28296_cov80-processed-gene-0.2	probable G- coupled receptor 139	454	1	4.88E-6	44%	3	F:G-protein coupled receptor activity; P:G-protein coupled receptor signaling pathway; C:integral component of membrane		IPR000276 (PRINTS); IPR000276 (PFAM); G3DSA:1.20.1070.10 (GENE3D); IPR017452 (PROSITE_PROFILES); SSF81321 (SUPERFAMILY)
snap_masked-scaffold1773_len28296_cov80-processed-gene-0.20	---NA---	92							no IPS match
maker-scaffold6819_len67836_cov83-augustus-gene-0.62	tektin A1	483	20	1.12E-157	68.2%				Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); IPR000435 (PRINTS); PF03148 (PFAM); IPR000435 (PANTHER)
snap_masked-scaffold6709_len21055_cov84-processed-gene-0.9	---NA---	107							no IPS match
snap_masked-scaffold6709_len21055_cov84-processed-gene-0.7	---NA---	94							no IPS match
augustus_masked-scaffold10149_len22992_cov83-processed-gene-0.4	---NA---	393							no IPS match
maker-scaffold10149_len22992_cov83-augustus-gene-0.23	Peptidyl-prolyl cis-trans isomerase	203	20	2.03E-70	75.9%	3	F:peptidyl-prolyl cis-trans isomerase activity; P:protein peptidyl-prolyl isomerization; P:protein folding	EC:5.2.1.8	IPR002130 (PRINTS); IPR029000 (G3DSA:2.40.100.GENE3D); IPR002130 (PFAM); IPR024936 (PANTHER); IPR020892 (PROSITE_PATTERNS); IPR002130 (PROSITE_PROFILES); IPR029000 (SUPERFAMILY)
maker-scaffold101691_len11579_cov80_single-augustus-gene-0.11	neurogenic locus notch homolog 1	716	20	6.09E-47	39.75%	1	F:protein binding		IPR000742 (SMART); IPR013032 (PFAM); G3DSA:2.10.25.10 (GENE3D); IPR000742 (PFAM); PTHR24033 (PANTHER); IPR013032 (PROSITE_PATTERNS); IPR013032 (PROSITE_PATTERNS); IPR013032 (PROSITE_PATTERNS); IPR013032 (PROSITE_PATTERNS); IPR013032 (PROSITE_PATTERNS); IPR013032 (PROSITE_PATTERNS); IPR013032 (PROSITE_PATTERNS); IPR013032 (PROSITE_PATTERNS); IPR013032 (PROSITE_PATTERNS); IPR013032 (PROSITE_PATTERNS); IPR000742 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY)
snap_masked-scaffold101691_len11579_cov80_single-processed-gene-0.10	---NA---	63							no IPS match
maker-scaffold6325_len7152_cov78-augustus-gene-0.6	hypothetical gene supported by AK097565 isoform CRA_a	475	20	8.28E-24	45.9%				Coil (COILS); Coil (COILS); IPR010736 (PFAM)
snap_masked-scaffold6325_len7152_cov78-processed-gene-0.5	---NA---	330							no IPS match
snap_masked-scaffold1891_len72221_cov80-processed-gene-0.50	---NA---	93							no IPS match
maker-scaffold44005_len14221_cov74-augustus-gene-0.11	dynein heavy chain axonemal isoform X2	620	20	2.1E-164	64.8%	3	F:microtubule motor activity; P:microtubule-based movement; C:microtubule	EC:3.6.1.15	Coil (COILS); Coil (COILS); Coil (COILS); IPR013602 (PFAM); IPR026983 (PANTHER); IPR026983 (PANTHER); PTHR10676:SF242 (PANTHER); PTHR10676:SF242 (PANTHER)
augustus_masked-scaffold44005_len14221_cov74-processed-gene-0.1	dynein heavy chain axonemal	308	20	2.97E-53	55.2%	3	F:microtubule motor activity; P:microtubule-based movement; C:microtubule	EC:3.6.1.15	PTHR10676:SF242 (PANTHER); IPR026983 (PANTHER)
snap_masked-scaffold1477_len30904_cov40-processed-gene-0.31	---NA---	485							Coil (COILS); IPR005135 (G3DSA:3.60.10.GENE3D); IPR005135 (SUPERFAMILY)
augustus_masked-scaffold1477_len30904_cov40-processed-gene-0.0	---NA---	300							Coil (COILS)
snap_masked-scaffold1477_len30904_cov40-processed-gene-0.32	RNA-directed DNA polymerase from mobile element jockey-like	231	20	1.9E-14	45.05%				IPR000477 (PFAM); PTHR19446:SF320 (PANTHER); PTHR19446 (PANTHER); IPR000477 (PROSITE_PROFILES); SSF56672 (SUPERFAMILY)
snap_masked-scaffold1477_len30904_cov40-processed-gene-0.33	---NA---	128							no IPS match
augustus_masked-scaffold1477_len30904_cov40-processed-gene-0.1	---NA---	91							no IPS match
