-----
maker-scaffold28133_len7439_cov91-augustus-gene-0.6	PREDICTED: uncharacterized protein C2orf50-like isoform X1	162	20	2.08E-18	60.25%				PTHR31909:SF2 (PANTHER); PTHR31909 (PANTHER)
maker-scaffold28133_len7439_cov91-augustus-gene-0.5	---NA---	308							Coil (COILS)
augustus_masked-scaffold12919_len2725_cov85-processed-gene-0.0	hypothetical protein LOTGIDRAFT_154062	298	1	8.69E-7	57%				IPR018379 (SMART); IPR018379 (PFAM); IPR018379 (PROSITE_PROFILES)
snap_masked-scaffold12919_len2725_cov85-processed-gene-0.3	---NA---	139							no IPS match
snap_masked-scaffold90286_len12877_cov86-processed-gene-0.7	---NA---	412							no IPS match
snap_masked-scaffold90286_len12877_cov86-processed-gene-0.6	---NA---	141							no IPS match
augustus_masked-scaffold66064_len26980_cov103-processed-gene-0.9	kin of IRRE 2	283	20	1.63E-17	44.3%	1	F:protein binding		IPR003599 (SMART); IPR003598 (SMART); IPR013106 (SMART); IPR013106 (PFAM); IPR013783 (G3DSA:2.60.40.GENE3D); IPR013783 (G3DSA:2.60.40.GENE3D); PTHR23279:SF0 (PANTHER); PTHR23279 (PANTHER); IPR007110 (PROSITE_PROFILES); IPR007110 (PROSITE_PROFILES); cd00096 (CDD); IPR007110 (SUPERFAMILY); IPR007110 (SUPERFAMILY)
snap_masked-scaffold66064_len26980_cov103-processed-gene-0.21	---NA---	135							no IPS match
genemark-scaffold103542_len72818_cov82-processed-gene-0.28	polyglycylase TTLL10-like isoform X5	737	20	1.05E-132	66.55%	2	F:ATP binding; P:cellular protein modification process		IPR004344 (PFAM); IPR013816 (G3DSA:3.30.470.GENE3D); PTHR12241 (PANTHER); PTHR12241:SF72 (PANTHER); PTHR12241 (PANTHER); IPR004344 (PROSITE_PROFILES); SSF56059 (SUPERFAMILY)
snap_masked-scaffold4958_len56819_cov82-processed-gene-0.26	---NA---	952							Coil (COILS)
snap_masked-scaffold4958_len56819_cov82-processed-gene-0.27	---NA---	111							Coil (COILS); Coil (COILS)
augustus_masked-scaffold11634_len34683_cov71-processed-gene-0.2	serine protease 27-like	295	20	4.84E-34	50.4%	2	P:proteolysis; F:serine-type endopeptidase activity	EC:3.4.21	Coil (COILS); IPR001314 (PRINTS); IPR001254 (SMART); G3DSA:2.40.10.10 (GENE3D); G3DSA:2.40.10.10 (GENE3D); IPR001254 (PFAM); PTHR24256 (PANTHER); IPR018114 (PROSITE_PATTERNS); IPR001254 (PROSITE_PROFILES); IPR001254 (CDD); IPR009003 (SUPERFAMILY)
maker-scaffold43892_len40223_cov74-snap-gene-0.47	NACHT and WD repeat domain-containing 1 isoform X1	391	20	2.31E-95	54.15%	1	F:protein binding		IPR001680 (SMART); IPR001680 (PFAM); IPR015943 (G3DSA:2.130.10.GENE3D); PTHR19871:SF6 (PANTHER); PTHR19871 (PANTHER); IPR019775 (PROSITE_PATTERNS); IPR017986 (PROSITE_PROFILES); IPR001680 (PROSITE_PROFILES); IPR017986 (SUPERFAMILY)
snap_masked-scaffold43892_len40223_cov74-processed-gene-0.29	NACHT and WD repeat domain-containing 1	691	4	2.94E-9	49.25%	2	C:membrane; C:integral component of membrane		IPR027417 (G3DSA:3.40.50.GENE3D); PTHR19871 (PANTHER); IPR027417 (SUPERFAMILY)
snap_masked-scaffold43892_len40223_cov74-processed-gene-0.30	NACHT domain- and WD repeat-containing 1	420	20	2.03E-21	50.95%				Coil (COILS); PTHR19871:SF6 (PANTHER); PTHR19871 (PANTHER)
snap_masked-scaffold768_len46757_cov81-processed-gene-0.18	---NA---	144							no IPS match
snap_masked-scaffold20867_len58959_cov82-processed-gene-0.53	cGMP-dependent kinase 1-like	530	20	1.56E-97	68.25%	4	F:ATP binding; F:cGMP-dependent protein kinase activity; P:serine family amino acid metabolic process; P:phosphorylation	EC:2.7.11; EC:2.7.11.12	Coil (COILS); Coil (COILS); Coil (COILS); IPR002374 (PRINTS); IPR000595 (SMART); IPR014710 (G3DSA:2.60.120.GENE3D); IPR014710 (G3DSA:2.60.120.GENE3D); IPR000595 (PFAM); PTHR24353 (PANTHER); IPR018488 (PROSITE_PATTERNS); IPR018488 (PROSITE_PATTERNS); IPR000595 (PROSITE_PROFILES); IPR000595 (PROSITE_PROFILES); cd00038 (CDD); cd00038 (CDD); IPR018490 (SUPERFAMILY); IPR018490 (SUPERFAMILY)
snap_masked-scaffold20867_len58959_cov82-processed-gene-0.54	---NA---	135							no IPS match
genemark-scaffold425_len46252_cov81-processed-gene-0.9	Meckel syndrome type 1	387	20	2.12E-76	56.65%	1	P:dorsal convergence		IPR010796 (PFAM); PTHR12968:SF4 (PANTHER); PTHR12968 (PANTHER); IPR010796 (PROSITE_PROFILES)
snap_masked-scaffold425_len46252_cov81-processed-gene-0.20	Meckel syndrome type 1	165	20	1.14E-40	61.45%				IPR010796 (PFAM); PTHR12968 (PANTHER); PTHR12968:SF4 (PANTHER); IPR010796 (PROSITE_PROFILES)
maker-scaffold49256_len14822_cov83-snap-gene-0.12	cilia- and flagella-associated 46-like	404	20	9.68E-47	56.95%				PTHR15977 (PANTHER)
snap_masked-scaffold49256_len14822_cov83-processed-gene-0.7	cilia- and flagella-associated 46-like	593	20	1.14E-69	51%	4	P:cilium movement involved in cell motility; F:RNA-directed 5'-3' RNA polymerase activity; P:transcription, RNA-templated; C:axoneme		PTHR15977 (PANTHER)
snap_masked-scaffold39460_len3171_cov83_single-processed-gene-0.2	---NA---	514							no IPS match
snap_masked-scaffold39460_len3171_cov83_single-processed-gene-0.3	---NA---	71							no IPS match
